date,Mkt-RF,SMB,HML,RMW,CMA,RF,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,CRSP_SPvw,CRSP_SPvwx,delta_Index
197002,0.0513,-0.0276,0.0393,-0.0229,0.0276,0.0062,89.5,3.16667,5.68,0.6701475070409856,0.0713,0.0793,0.08779999999999999,0.0651,0.0358552170375318,0.0062,0.005291005291005346,0.0587,0.0401,0.0010587117306881857,0.059521,0.053615,0.05269348388614459
197003,-0.0106,-0.0241,0.039900000000000005,-0.01,0.0429,0.005699999999999999,89.63,3.17,5.63,0.6903267690975978,0.0663,0.0784,0.0863,0.0661,0.035841581177216954,0.005699999999999999,0.0052631578947368585,-0.0068,-0.0045,0.0009635389970893111,0.002806,0.001232,0.0014525139664804954
197004,-0.11,-0.064,0.061799999999999994,-0.0064,0.0621,0.005,81.52,3.17333,5.59333,0.7367505807871533,0.06509999999999999,0.0783,0.087,0.0699,0.03571212482675271,0.005,0.00785340314136107,-0.0413,-0.025,0.0016146769913286704,-0.088831,-0.090035,-0.09048309717728442
197005,-0.0692,-0.044800000000000006,0.0333,-0.0121,0.039,0.0053,76.55,3.17667,5.55667,0.7742276283478955,0.0684,0.08109999999999999,0.0898,0.0743,0.038661028309579064,0.0053,0.0025974025974027093,-0.0468,-0.0163,0.008151854425065889,-0.054689,-0.061112,-0.060966633954857685
197006,-0.0579,-0.022000000000000002,0.006,0.0013,0.0296,0.0058,72.72,3.18,5.52,0.7933814170555791,0.0668,0.0848,0.0925,0.0709,0.04229074791135813,0.0058,0.005181347150258864,0.0486,0.0001,0.0026519110173923743,-0.049032,-0.050902,-0.05003265839320703
197007,0.0693,-0.0062,0.009000000000000001,-0.0026,0.0184,0.0052,78.05,3.18333,5.46667,0.7387075682449735,0.0645,0.08439999999999999,0.094,0.0687,0.043073821662607,0.0052,0.005154639175257714,0.0319,0.0556,0.002126476383453863,0.075523,0.073219,0.0732948294829483
197008,0.0449,0.0152,0.0115,0.005600000000000001,-0.0021,0.0053,81.52,3.18667,5.41333,0.7092782965811294,0.0641,0.08130000000000001,0.0944,0.0694,0.038729252606242486,0.0053,0.0,-0.0019,0.01,0.0018871043050804042,0.049778,0.043782,0.04445868033311973
197009,0.0418,0.0851,-0.0547,0.003,-0.0583,0.0054,84.21,3.19,5.36,0.7129147604774675,0.061200000000000004,0.0809,0.09390000000000001,0.068,0.03794241925083178,0.0054,0.00512820512820511,0.0228,0.0139,0.001057964932286218,0.034702,0.033021,0.03299803729146222
197010,-0.022799999999999997,-0.0443,0.0022,0.0171,0.023399999999999997,0.0046,83.25,3.17333,5.28333,0.7176982835060414,0.0591,0.0803,0.0933,0.0693,0.036962491060234325,0.0046,0.005102040816326481,-0.0109,-0.0096,0.0010433956864619354,-0.009032,-0.011639,-0.011400071250445287
197011,0.046,-0.038599999999999995,0.0169,0.015700000000000002,0.0147,0.0046,87.2,3.15667,5.20667,0.6829200720321373,0.0528,0.0805,0.09380000000000001,0.0637,0.03522492799431059,0.0046,0.005076142131979822,0.0791,0.0584,0.000885453566751327,0.054387,0.048836,0.047447447447447555
197012,0.0572,0.0294,0.01,0.0027,0.003,0.0042,92.15,3.14,5.13,0.6464263576979926,0.0487,0.0764,0.09119999999999999,0.0648,0.03146170744744369,0.0042,0.005050505050504972,-0.0084,0.0372,0.0005351999430460775,0.058684,0.057358,0.05676605504587151
